id,Material Type,Process Type,call_number,Library Name,Location Name,mms_id,title,ISBN,ISSN,Author,Publisher,Publication Place,Publication Date,Subjects,651$$0,651$$1,Num of Loans Including Pre-Migration (In House),Description,Internal Note 1,Internal Note 2,Internal Note 3,date_acquired,Item Modification Date,predicted_category,confidence,prob_Ancient Western Asia,prob_Central Asia & Siberia,"prob_China, South Asia, & East Asia",prob_Cross-Cultural Studies & Other,prob_Egypt & North Africa,prob_European and Classical Antiquity,prob_The Caucasus & The Western Steppe
31154068975885,Book,,PJ3721.A84 K45 Bd.15:2023,NYU Inst Study Ancient World,Oversize Collection,9998673229907876,Schreiberübungen aus neuassyrischer Zeit /,3447120770; 9783447120777,,,Harrassowitz Verlag,Wiesbaden :,2023.,"Cuneiform inscriptions, Akkadian.; Cuneiform inscriptions, Sumerian.; Akkadian language--Texts--Catalogs.; Sumerian language--Texts--Catalogs.; Scribes--Iraq--Babylonia.; Clay tablets.; Cuneiform tablets--Iraq--Ashur (Extinct city); Akkadian language--Texts; Clay tablets; Cuneiform tablets; Cuneiform inscriptions, Akkadian; Cuneiform inscriptions, Sumerian; Scribes; Sumerian language--Texts; Iraq--Ashur (Extinct city); Catalogs; Ashur/'Lamban'?/'Liba(nai)'?; Inscriptions cunéiformes akkadiennes.; Inscriptions cunéiformes sumériennes.; Akkadien (Langue)--Textes--Catalogues.; Sumérien (Langue)--Textes--Catalogues.; Tablettes d'argile.; Tablettes cunéiformes--Irak--Assour (Ville ancienne)",https://pleiades.stoa.org/places/893945,,0,,,,,2024-07-11,2024-07-11,Ancient Western Asia,0.9489394436055882,0.9489394436055882,0.0,0.0,0.0,0.04811136725185262,0.0029491891425590024,0.0
31154068975893,Book,,DF261.A24 K38 2023,NYU ISAW Offsite,Offsite Collection,9998673229807876,Archaia Aigialeia : historikē-archaiologikē periēgēsē /,9608637759; 9789608637757,,"Katsōnopoulou, D̲ora, author.",Dora Katsōnopoulou?,Athēna :,2023.,Aigialeia (Greece)--History.; Aigialeia (Greece)--Antiquities.; Achaea/Achaia (region),https://pleiades.stoa.org/places/570028,,0,,,,,2024-07-11,2025-02-11,European and Classical Antiquity,0.9447490510333192,0.0,0.014761703922395612,0.0,0.04048924504428511,0.0,0.9447490510333192,0.0
31154068975901,Book,,DS99.S5 A87 T.8:2024,NYU Inst Study Ancient World,Oversize Collection,9998673229707876,Tell Chuēra : Grabungen außerhalb der Siedlung und in Kharab Sayyar /,344712086X; 9783447120869; 9783447394444; 3447394447,,,Harrassowitz Verlag,Wiesbaden :,2024.,"Shuwayrah, Tall (Syria); Excavations (Archaeology)--Syria.; Syria--Antiquities.; Tell Chuēra/Harbe.; Syria.; Syrie--Antiquités.",https://pleiades.stoa.org/places/677382294; https://pleiades.stoa.org/places/1306;,,0,,,,,2024-07-11,2024-07-11,Ancient Western Asia,0.8776713987177072,0.8776713987177072,0.022298007819367773,0.03486597586301143,0.0,0.043982309001505245,0.012136890332060939,0.009045418266347303
31154068975919,Book,,DS110.A3 T45 2023,NYU Inst Study Ancient World,Small Collection,9998674730207876,Tel Akko Area H : from the middle Bronze Age to the Crusader period /,9004522980; 9789004522985; 9789004523531; 9004523537,,,Brill,Leiden ; Boston :,[2023],Acre (Israel)--Antiquities.; Excavations (Archaeology)--Israel--Acre.; Harbors--Israel--Acre--History.; Antiquities; Excavations (Archaeology); Harbors; Israel--Acre; History; Ake/Ptolemais.; Fouilles (Archéologie)--Israël--Acre.; Ports--Israël--Acre--Histoire.,https://pleiades.stoa.org/places/678010,https://id.oclc.org/worldcat/entity/E39PBJhX98fprDtmvWYJPCJVYP;,0,,White-Levy Program,,,2024-07-16,2024-07-16,Ancient Western Asia,0.88449706638003,0.88449706638003,0.02273493071478657,0.035549164390393545,0.0,0.044844129391551496,0.012374709123238261,0.0
31154068975927,Book,,N7170 .D423 2009,NYU ISAW Offsite,Offsite Collection,9998675026207876,De Byzance à Istanbul : un port pour deux continents.,,,,Réunion des musées nationaux,Paris :,2009.,"Art, Turkish--Turkey--Istanbul--History--Exhibitions.; Art, Byzantine--Turkey--Istanbul--Exhibitions.; Art, Ottoman--Turkey--Istanbul--Exhibitions.; Istanbul (Turkey)--Antiquities--Exhibitions.; Istanbul (Turkey)--In art--Exhibitions.; Constantinopolis.; Art turc--Turquie--İstanbul--Histoire--Expositions.; Art byzantin--Turquie--İstanbul--Expositions.; Art ottoman--Turquie--İstanbul--Expositions.",https://pleiades.stoa.org/places/520998,,0,,,,,2024-07-22,2025-02-11,Ancient Western Asia,0.32254290198189384,0.32254290198189384,0.12440940505015906,0.3110235126253976,0.030343757329307088,0.044431930375056806,0.1555117563126988,0.011736736325486703
31154068975935,Book,,DS554.42 .C4713 2010,NYU ISAW Offsite,Offsite Collection,9998652514707876,Record of Cambodia's land & customs /,0755213068; 9780755213061,,"Zhou, Daguan, active 1297.",Authors OnLine,Gamlingay :,©2010.,Cambodia--Description and travel.; Cambodia--Social life and customs.; Manners and customs; Travel; Cambodia; Landeskunde; Kambodscha.; Cambodia.; Cambodge--Descriptions et voyages.,http://vocab.getty.edu/tgn/1000109;,https://id.oclc.org/worldcat/entity/E39PBJg4r3TCfqyp68WTMRDH4q;,0,,Bunker,,,2024-07-22,2025-02-11,"China, South Asia, & East Asia",0.8038723579532622,0.09743907369130451,0.02492627466521743,0.8038723579532622,0.0,0.04916650507359402,0.014484186629788509,0.010111601986833486
31154068975943,Book,,GN778.32.I75 S54 2023,NYU Inst Study Ancient World,Large Collection,9998675016707876,"Shiqmim II : the phase II excavations at a Chalcolithic settlement center in the northern Negev desert, Israel (1987-1993) /",9781407360591; 1407360590,,,BAR Publishing,Oxford :,2023.,Excavations (Archaeology)--Israel--Shiqmim Site.; Excavations (Archaeology)--Israel--Negev.; Copper age--Israel--Negev.; Bronze age--Israel--Negev.; Shiqmim Site (Israel); Negev (Israel)--Antiquities.; Israel--Antiquities.; Excavations (Archaeology); Israel--Negev; Shiqmim.; Negev.; Israel.; Fouilles (Archéologie)--Israël--Néguev.; Chalcolithique--Israël--Néguev.; Israël--Antiquités.,https://pleiades.stoa.org/places/553543527; https://pleiades.stoa.org/places/687985; http://vocab.getty.edu/tgn/1000119;,https://id.oclc.org/worldcat/entity/E39PBJtX3pgRfGyhFXHpxWJCcP;,0,,White Levy Program,,,2024-07-29,2024-07-29,Ancient Western Asia,0.8286088950587824,0.8286088950587824,0.02129839265144973,0.0,0.03924989502910022,0.0420105910097403,0.011592796000156183,0.057239430250771155
31154068985223,Book,,DS793.T7 Q24 2022,NYU ISAW Offsite,Offsite Collection,9998675120507876,Deng'equ xi shi qi yi cun = Microblade sites from Deng'e River Valley /,750107772X; 9787501077724,,"Qinghai Sheng wen wu kao gu yan jiu suo, author.",Wen wu chu ban she,Beijing :,2022.,"Tools, Prehistoric--China--Qinghai Sheng.; Stone implements--China--Qinghai Sheng.; Paleolithic period--China--Qinghai Sheng.; Qinghai Sheng (China)--Antiquities.; Shi qi shi dai kao gu--Diao cha bao gao--Yu shu zang zu zi zhi zhou.; Qinghai.; Dengailong River.; Outils préhistoriques--Chine--Qinghai (Sheng); Outils de pierre--Chine--Qinghai (Sheng)",http://vocab.getty.edu/tgn/7002088;,http://www.wikidata.org/entity/Q15927911,1,,,,,2024-07-22,2025-02-11,"China, South Asia, & East Asia",0.8576376329519,0.04764653516399445,0.045138822786942104,0.8576376329519,0.0,0.030629915462567856,0.010856172569011393,0.008090921065583963
31154068985280,Book,,PL2456 .C35 v.2 2004,NYU Inst Study Ancient World,Large Collection,9998674430107876,Jia gu zhui he xu ji /,9789576687389; 9576687381,,"Cai, Zhemao.",Wen jin chu ban she,Taibei Shi :,2004.,"Inscriptions, Chinese--China--Anyang Xian.; Oracle bones--China--Anyang Xian.; Inscriptions, Chinese; Oracle bones; China--Anyang Xian; Jia gu wen--kao zheng.; Yin Ruins.",http://vocab.getty.edu/tgn/7032002,https://id.oclc.org/worldcat/entity/E39PBJdx8Gx44W4vGyPFmJ6Yfq;,0,,,,,2024-07-15,2024-07-16,"China, South Asia, & East Asia",0.9846153846153847,0.0,0.015384615384615385,0.9846153846153847,0.0,0.0,0.0,0.0
31154068986668,Book,Transit,DS797.54.Q218 C43 2023,NYU Inst Study Ancient World,Large Collection,9998675120907876,Chaha'er Youyi Zhongqi wen hua yi chan gai lan /,7501079196; 9787501079193,,,Wen wu chu ban she,Beijing :,2023.,Cultural property--China--Qahar Youyi Zhongqi.; Qahar Youyi Zhongqi (China)--Civilization.; Qahar Youyi Zhongqi (China)--Antiquities.; Qahar Youyi Zhongqi (China)--History.; Qahar.,http://vocab.getty.edu/tgn/8624028,,0,,,,,2024-07-22,2024-08-01,"China, South Asia, & East Asia",0.9242848278791364,0.0,0.021494995997189216,0.9242848278791364,0.0,0.03301017242425487,0.012490335511880222,0.008719668187539022
